Date,Open,High,Low,Close,Adj Close,Volume
2015-07-22,91.620003,92.099998,91.279999,91.650002,83.05532099999999,2484000
2015-07-23,91.620003,91.800003,90.599998,90.769997,82.257858,2646200
2015-07-24,83.540001,83.900002,78.230003,78.860001,71.464752,16800000
2015-07-27,78.040001,79.379997,77.949997,78.610001,71.238197,7195600
2015-07-28,79.25,79.25,77.800003,78.650002,71.274452,7524100
2015-07-29,78.940002,79.739998,78.889999,79.620003,72.15349599999999,4626500
2015-07-30,80.220001,81.58000200000001,80.110001,81.5,73.85719300000001,4276500
2015-07-31,81.58000200000001,81.599998,80.900002,81.300003,73.675934,3677200
2015-08-03,81.459999,81.699997,80.790001,81.629997,73.974991,3392900
2015-08-04,81.629997,81.91999799999999,81.260002,81.379997,73.748413,2088400
2015-08-05,81.949997,82.220001,81.33000200000001,81.860001,74.18341099999999,3937500
2015-08-06,81.540001,81.83000200000001,80.860001,81.139999,73.89200600000001,3196300
2015-08-07,81.0,81.629997,80.269997,80.82,73.600571,2879000
2015-08-10,81.470001,82.66999799999999,81.300003,82.489998,75.121391,2303100
2015-08-11,81.709999,81.91999799999999,80.43,80.870003,73.646126,2543800
2015-08-12,80.440002,80.889999,79.129997,80.620003,73.41845699999999,3122100
2015-08-13,80.980003,81.41999799999999,80.379997,80.760002,73.912666,2448700
2015-08-14,80.33000200000001,81.360001,80.300003,81.269997,74.379425,1967000
2015-08-17,80.690002,81.779999,80.5,81.650002,74.727211,2020200
2015-08-18,81.610001,82.08000200000001,80.889999,81.260002,74.37026999999999,2414600
2015-08-19,80.660004,80.870003,79.739998,80.120003,73.32693499999999,4639000
2015-08-20,79.300003,79.769997,79.010002,79.040001,72.33850100000001,2895600
2015-08-21,78.290001,78.82,76.620003,76.620003,70.12368000000001,4220400
2015-08-24,71.790001,75.870003,67.730003,73.529999,67.29567,4382600
2015-08-25,75.790001,75.849998,72.199997,72.25,66.124199,3577000
2015-08-26,73.620003,74.910004,72.449997,74.75,68.412247,3699900
2015-08-27,75.809998,77.629997,75.550003,77.360001,70.800949,4724900
2015-08-28,77.07,77.519997,76.75,77.32,70.764336,2262200
2015-08-31,77.019997,78.110001,76.66999799999999,77.75,71.15786700000001,2674300
2015-09-01,75.68,76.07,73.860001,74.32,68.018692,2813000
2015-09-02,75.540001,75.940002,74.18,75.300003,68.915604,2580200
2015-09-03,75.989998,77.349998,75.690002,76.160004,69.70269,2940000
2015-09-04,74.949997,75.32,74.16999799999999,74.83000200000001,68.485458,2249800
2015-09-08,76.0,76.800003,75.709999,76.790001,70.279266,2613000
2015-09-09,77.519997,77.980003,75.690002,75.860001,69.428116,2254200
2015-09-10,75.459999,76.43,75.389999,75.870003,69.437294,2530900
2015-09-11,75.589996,75.889999,74.910004,75.650002,69.23593100000001,2324400
2015-09-14,75.809998,76.339996,75.290001,75.760002,69.336609,2658200
2015-09-15,76.0,76.800003,75.91999799999999,76.360001,69.885727,3328300
2015-09-16,76.58000200000001,77.410004,76.190002,77.279999,70.727737,2869600
2015-09-17,77.290001,77.699997,75.559998,75.889999,69.455574,2744500
2015-09-18,74.839996,74.879997,73.339996,73.559998,67.323128,4956100
2015-09-21,74.209999,75.019997,74.08000200000001,74.58000200000001,68.256638,2219900
2015-09-22,73.519997,73.779999,72.949997,73.68,67.43296099999999,2188000
2015-09-23,74.08000200000001,74.08000200000001,73.190002,73.5,67.268196,2097300
2015-09-24,72.599998,73.239998,72.18,73.120003,66.920441,3693200
2015-09-25,74.220001,74.730003,73.839996,74.050003,67.771591,2522200
